table,total_lignes,score_pct,flag,nb_checks,nb_pass,nb_warn,nb_fail,nb_error,timestamp
professional_description,29633,67.91,FAIL,4,2,1,1,0,2026-06-23T10:38:44
professional_activity,29625,100.00,PASS,2,2,0,0,0,2026-06-23T10:38:44
natural_person_description,4629257,98.84,PASS,13,12,1,0,0,2026-06-23T10:38:44
legal_entity_financial_data,90590,92.18,PASS,2,2,0,0,0,2026-06-23T10:38:44
legal_entity_description,91508,99.32,PASS,6,6,0,0,0,2026-06-23T10:38:44
customers,4750400,75.00,WARN,4,3,0,0,1,2026-06-23T10:38:44
customer_job,0,0.00,FAIL,5,0,0,0,5,2026-06-23T10:38:44
customer_activity,0,0.00,FAIL,3,0,0,0,3,2026-06-23T10:38:44
company_shareholders,0,0.00,FAIL,2,0,0,0,2,2026-06-23T10:38:44
customer_mail,0,0.00,FAIL,4,0,0,0,4,2026-06-23T10:38:44
customer_creation_context,0,0.00,FAIL,2,0,0,0,2,2026-06-23T10:38:44
customer_segmentation,0,0.00,FAIL,1,0,0,0,1,2026-06-23T10:38:44
