table,total_lignes,score_pct,flag,nb_checks,nb_pass,nb_warn,nb_fail,nb_error,timestamp
professional_description,29554,67.89,FAIL,4,2,1,1,0,2026-06-15T10:05:22
professional_activity,29546,100.00,PASS,2,2,0,0,0,2026-06-15T10:05:22
natural_person_description,4617495,98.84,PASS,13,12,1,0,0,2026-06-15T10:05:22
legal_entity_financial_data,90406,92.16,PASS,2,2,0,0,0,2026-06-15T10:05:22
legal_entity_description,91314,99.32,PASS,6,6,0,0,0,2026-06-15T10:05:22
customers,4738365,100.00,PASS,4,4,0,0,0,2026-06-15T10:05:22
customer_job,4562684,53.02,FAIL,5,1,0,4,0,2026-06-15T10:05:22
customer_activity,91907,100.00,PASS,3,3,0,0,0,2026-06-15T10:05:22
company_shareholders,98326,25.30,FAIL,2,0,0,2,0,2026-06-15T10:05:22
customer_mail,8174140,96.20,PASS,4,3,1,0,0,2026-06-15T10:05:22
customer_creation_context,9502895,99.13,PASS,2,2,0,0,0,2026-06-15T10:05:22
customer_segmentation,78,98.72,PASS,1,1,0,0,0,2026-06-15T10:05:22
