table,total_lignes,score_pct,flag,nb_checks,nb_pass,nb_warn,nb_fail,nb_error,timestamp
professional_description,29544,67.89,FAIL,4,2,1,1,0,2026-06-11T09:23:19
professional_activity,29536,100.00,PASS,2,2,0,0,0,2026-06-11T09:23:19
natural_person_description,4613665,98.84,PASS,13,12,1,0,0,2026-06-11T09:23:19
legal_entity_financial_data,90356,92.16,PASS,2,2,0,0,0,2026-06-11T09:23:19
legal_entity_description,91262,99.32,PASS,6,6,0,0,0,2026-06-11T09:23:19
customers,4734473,100.00,PASS,4,4,0,0,0,2026-06-11T09:23:19
customer_job,4558895,53.03,FAIL,5,1,0,4,0,2026-06-11T09:23:19
customer_activity,91856,100.00,PASS,3,3,0,0,0,2026-06-11T09:23:19
company_shareholders,98244,25.32,FAIL,2,0,0,2,0,2026-06-11T09:23:19
customer_mail,8170189,96.21,PASS,4,3,1,0,0,2026-06-11T09:23:19
customer_creation_context,9496927,99.14,PASS,2,2,0,0,0,2026-06-11T09:23:19
customer_segmentation,78,98.72,PASS,1,1,0,0,0,2026-06-11T09:23:19
