table,total_lignes,score_pct,flag,nb_checks,nb_pass,nb_warn,nb_fail,nb_error,timestamp
professional_description,29620,67.91,FAIL,4,2,1,1,0,2026-06-22T10:28:42
professional_activity,29612,100.00,PASS,2,2,0,0,0,2026-06-22T10:28:42
natural_person_description,4626791,98.84,PASS,13,12,1,0,0,2026-06-22T10:28:42
legal_entity_financial_data,0,0.00,FAIL,2,0,0,0,2,2026-06-22T10:28:42
legal_entity_description,0,0.00,FAIL,6,0,0,0,6,2026-06-22T10:28:42
customers,0,0.00,FAIL,4,0,0,0,4,2026-06-22T10:28:42
customer_job,0,0.00,FAIL,5,0,0,0,5,2026-06-22T10:28:42
customer_activity,0,0.00,FAIL,3,0,0,0,3,2026-06-22T10:28:42
company_shareholders,0,0.00,FAIL,2,0,0,0,2,2026-06-22T10:28:42
customer_mail,0,0.00,FAIL,4,0,0,0,4,2026-06-22T10:28:42
customer_creation_context,0,0.00,FAIL,2,0,0,0,2,2026-06-22T10:28:42
customer_segmentation,0,0.00,FAIL,1,0,0,0,1,2026-06-22T10:28:42
