table,total_lignes,score_pct,flag,nb_checks,nb_pass,nb_warn,nb_fail,nb_error,timestamp
professional_description,0,0.00,FAIL,4,0,0,0,4,2026-06-22T10:40:13
professional_activity,29612,100.00,PASS,2,2,0,0,0,2026-06-22T10:40:13
natural_person_description,0,0.00,FAIL,13,0,0,0,13,2026-06-22T10:40:13
legal_entity_financial_data,90558,92.18,PASS,2,2,0,0,0,2026-06-22T10:40:13
legal_entity_description,91474,99.32,PASS,6,6,0,0,0,2026-06-22T10:40:13
customers,4747887,50.00,FAIL,4,2,0,0,2,2026-06-22T10:40:13
customer_job,4571894,53.00,FAIL,5,1,0,4,0,2026-06-22T10:40:13
customer_activity,92067,100.00,PASS,3,3,0,0,0,2026-06-22T10:40:13
company_shareholders,98534,25.25,FAIL,2,0,0,2,0,2026-06-22T10:40:13
customer_mail,8183811,71.19,WARN,4,2,1,0,1,2026-06-22T10:40:13
customer_creation_context,9516827,99.11,PASS,2,2,0,0,0,2026-06-22T10:40:13
customer_segmentation,78,98.72,PASS,1,1,0,0,0,2026-06-22T10:40:13
