table,total_lignes,score_pct,flag,nb_checks,nb_pass,nb_warn,nb_fail,nb_error,timestamp
professional_description,29533,67.89,FAIL,4,2,1,1,0,2026-06-10T11:36:57
professional_activity,29525,100.00,PASS,2,2,0,0,0,2026-06-10T11:36:57
natural_person_description,4611530,98.84,PASS,13,12,1,0,0,2026-06-10T11:36:57
legal_entity_financial_data,90314,92.16,PASS,2,2,0,0,0,2026-06-10T11:36:57
legal_entity_description,91218,99.32,PASS,6,6,0,0,0,2026-06-10T11:36:57
customers,4732283,100.00,PASS,4,4,0,0,0,2026-06-10T11:36:57
customer_job,0,0.00,FAIL,5,0,0,0,5,2026-06-10T11:36:57
customer_activity,91810,100.00,PASS,3,3,0,0,0,2026-06-10T11:36:57
company_shareholders,0,0.00,FAIL,2,0,0,0,2,2026-06-10T11:36:57
customer_mail,0,0.00,FAIL,4,0,0,0,4,2026-06-10T11:36:57
customer_creation_context,9493798,99.15,PASS,2,2,0,0,0,2026-06-10T11:36:57
customer_segmentation,78,98.72,PASS,1,1,0,0,0,2026-06-10T11:36:57
