table,total_lignes,score_pct,flag,nb_checks,nb_pass,nb_warn,nb_fail,nb_error,timestamp
professional_description,29620,67.91,FAIL,4,2,1,1,0,2026-06-22T09:50:11
professional_activity,29612,100.00,PASS,2,2,0,0,0,2026-06-22T09:50:11
natural_person_description,4626791,98.84,PASS,13,12,1,0,0,2026-06-22T09:50:11
legal_entity_financial_data,90558,92.18,PASS,2,2,0,0,0,2026-06-22T09:50:11
legal_entity_description,91474,99.32,PASS,6,6,0,0,0,2026-06-22T09:50:11
customers,4747887,75.00,WARN,4,3,0,0,1,2026-06-22T09:50:11
customer_job,4571894,53.00,FAIL,5,1,0,4,0,2026-06-22T09:50:11
customer_activity,92067,100.00,PASS,3,3,0,0,0,2026-06-22T09:50:11
company_shareholders,0,0.00,FAIL,2,0,0,0,2,2026-06-22T09:50:11
customer_mail,8183811,96.19,PASS,4,3,1,0,0,2026-06-22T09:50:11
customer_creation_context,9516827,99.11,PASS,2,2,0,0,0,2026-06-22T09:50:11
customer_segmentation,78,98.72,PASS,1,1,0,0,0,2026-06-22T09:50:11
